Handle,Command,Title,Body HTML,Tags Command,Metafield: custom.tasting_notes [single_line_text_field],Metafield: custom.best_enjoyed [single_line_text_field],Metafield: custom.origin [single_line_text_field],Metafield: custom.tea_type [single_line_text_field]
japanese-sencha-green-tea,MERGE,Japanese Sencha Green Tea,"<p>Japan&#x27;s go-to green tea for a reason. Steamed fresh after harvest, our Sencha delivers a crisp, vibrant cup with subtle sweetness and smooth, natural energy. Light, refreshing, and easy to love, your new daily ritual in a cup.</p>",MERGE,"Fresh, grassy, lightly sweet with a clean finish","Morning or afternoon, on its own, never with milk",Japan,Green Tea
chinese-jasmine-green-tea,MERGE,Chinese Jasmine Green Tea,"<p>Delicate green tea meets fragrant jasmine blossoms and the result is pure magic. Naturally sweet, beautifully floral, and so smooth it practically drinks itself. The kind of cup that turns a regular afternoon into something worth savouring.</p>",MERGE,"Floral, lightly sweet, delicate with a clean finish","Morning or afternoon, on its own, never with milk",China,"Green Tea, floral"
japanese-genmaicha-green-tea,MERGE,Japanese Genmaicha Green Tea,"<p>Green tea got a glow-up. Our Genmaicha blends smooth Japanese green tea with toasted brown rice for a warm, nutty cup that&#x27;s comforting, light on caffeine, and completely unlike anything else in your collection.</p>",MERGE,"Nutty, toasty, smooth with a hint of green freshness","Morning or afternoon, perfect on its own or alongside a meal",Japan,"Green Tea, roasted rice blend"
peach-mango-tango-green-tea,MERGE,Peach Mango Tango Green Tea,"<p>Sweet, fruity, and exactly what it promises. Smooth Sencha meets juicy mango and sun-ripened peach for a cup that&#x27;s bright, tropical, and impossible not to love. Hot or cold brewed, it&#x27;s a vibe either way.</p>",MERGE,"Sweet, fruity, tropical with a light green tea base","Afternoon, hot or cold brewed over ice",Japan,"Green Tea, flavoured"
japanese-hojicha-green-tea,MERGE,Japanese Hōjicha Green Tea,"<p>Green tea, but make it cosy. Roasted to perfection, our Hōjicha brews into a deep, toasty cup with caramel-like warmth and barely any caffeine. Smooth, mellow, and perfect at any hour this is the one that changes your mind about green tea.</p>",MERGE,"Toasty, warm, smooth with a hint of caramel","Evening or anytime, low caffeine makes it perfect for late in the day",Japan,"Green Tea, roasted"
rainbow-rain-green-tea,MERGE,Rainbow Rain Green Tea,"<p>Bold berries meet smooth Sencha and the result is a cup that&#x27;s as vibrant as it looks. Elderberries, blackcurrant, and blueberries give this blend a naturally sweet, floral depth that you didn&#x27;t know you needed. Hot or cold brewed, it&#x27;s always a good idea.</p>",MERGE,"Floral, berry-forward, lightly sweet with a clean green tea finish","Morning or afternoon, on its own or cold brewed over ice",Japan,"Green Tea, flavoured"
tropical-sunshine-green-tea,MERGE,Tropical Sunshine Green Tea,"<p>One sip and you are somewhere warmer. Orange peel, pineapple, and calendula petals blended with smooth Sencha for a bright, citrusy cup that&#x27;s pure tropical energy. Summer in a cup, all year round.</p>",MERGE,"Citrus, tropical, lightly sweet with a fresh green tea base","Afternoon, hot or cold brewed over ice",Japan,"Green Tea, flavoured"
divine-earl-grey-black-tea,MERGE,Divine Earl Grey Black Tea,"<p>The classic, done right. Bold Assam black tea meets fragrant bergamot and delicate rose petals for a cup that&#x27;s floral, smooth, and quietly luxurious. The Earl Grey you will finally stop settling for something less than.</p>",MERGE,"Floral, citrus bergamot, smooth with a sweet finish",Morning or afternoon on its own or with a splash of milk,"Assam, India","Black, flavoured"
classic-english-breakfast-black-tea,MERGE,Classic English Breakfast Black Tea,"<p>Bold enough to wake you up. Smooth enough to keep you coming back. A full-bodied breakfast blend that holds up beautifully with milk or stands strong on its own. No drama, just a really great cup, every single morning.</p>",MERGE,"Rich, malty, full-bodied with a smooth finish",Morning with or without milk,"Assam, India","Black, breakfast blend"
organic-assam-black-tea,MERGE,Organic Assam Black Tea,"<p>One ingredient, one origin, one of the best black teas in the world. Bold, malty, and deeply full-bodied, our single origin Assam does exactly what great tea should do. No additives, no shortcuts, just the leaf doing what it does best.</p>",MERGE,"Bold, malty, rich with a smooth finish",Morning with or without milk,"Assam, India",Black
pumpkin-chai-black-tea,MERGE,Pumpkin Chai Black Tea,"<p>Pumpkin spice, but make it actually good. Bold Kenyan black tea meets pumpkin flakes, cinnamon, and orange peel for a rich, warming cup that&#x27;s cozy without being obvious. Brew it strong, add steamed milk, and thank yourself later.</p>",MERGE,"Warm, spiced, smooth with a hint of citrus",Any time of year on its own or as a latte,Kenya,"Black, spiced seasonal blend"
chocolate-mint-black-tea,MERGE,Chocolate Mint Black Tea,"<p>Your favourite dessert, in a cup. Smooth Ceylon black tea layered with cocoa shells and peppermint for a rich, cool, deeply satisfying brew. Indulgent enough to feel like a treat, light enough to drink any time. The after-dinner tea you didn&#x27;t know you needed.</p>",MERGE,"Rich chocolate, cool mint, smooth with a sweet finish",Afternoon or after dinner on its own or with a splash of milk,Sri Lanka,"Black, flavoured"
red-roses-black-tea,MERGE,Red Roses Black Tea,"<p>Quietly luxurious and worth every sip. Organic black tea blended with real rose petals for a cup that&#x27;s floral, smooth, and just a little bit special. Beautiful enough to gift, good enough to keep entirely for yourself.</p>",MERGE,"Floral, lightly sweet, smooth with a gentle astringency",Morning or afternoon on its own or with a touch of honey,India,"Black, floral"
chamomile-herbal-tea,MERGE,Organic Chamomile Herbal Tea,"<p>Some teas you drink for the taste. This one you drink for how it makes you feel. Chamomile, hibiscus, and lemongrass brew into a soft, floral cup that slows everything down. Caffeine free, naturally calming, and the perfect way to end any day.</p>",MERGE,"Floral, lightly sweet, with a gentle citrus finish",Evening as part of a wind down ritual,Egypt,"Herbal, caffeine free"
organic-turmeric-herbal-tea,MERGE,Organic Turmeric Herbal Tea,"<p>Two ingredients. Thousands of years of tradition. Organic turmeric and black pepper, a pairing trusted for centuries for good reason. Earthy, warming, and caffeine free. The cup that quietly earns its place in your routine.</p>",MERGE,"Earthy, warm, lightly spiced with a gentle pepper finish",Morning or afternoon on its own or with a touch of honey,India,"Herbal, caffeine free"
organic-immunity-herbal-tea,MERGE,Organic Immunity Herbal Tea,,MERGE,,,,"Herbal, caffeine free"
masala-chai-black-tea,MERGE,Masala Chai Black Tea,"<p>Bold Assam black tea, whole spices, and zero shortcuts. Our Masala Chai is warming, rich, and deeply satisfying, the kind of cup that lingers long enough to make you want another. Brew it strong, add steamed milk, and let it do its thing.</p>",MERGE,"Warm, bold, spiced with a sweet finish",Morning or afternoon on its own or as a chai latte,"Assam, India","Black, spiced blend"
mumbai-chai,MERGE,Mumbai Chai Black Tea,"<p>If Masala Chai is the classic, Mumbai Chai is what happens when you turn it up. More cardamom. More ginger. More of everything that makes a chai worth drinking. Brew it strong, add steamed milk, and don&#x27;t be surprised when it becomes the only chai you reach for.</p>",MERGE,"Bold, spicy, warming — cardamom forward with a ginger kick",Morning or anytime you need something with a bit more fire,"Assam, India","Black, spiced chai blend"
tulsi-chai,MERGE,Tulsi Chai,"<p>Chai spices meet Tulsi, Holy Basil, for a blend that&#x27;s warm, aromatic, and genuinely uplifting. Smooth and comforting with a natural wellness twist that makes every cup feel intentional. Your everyday ritual, elevated.</p>",MERGE,"Warm, spiced, aromatic with a naturally uplifting herbal note",Morning or evening on its own or with steamed milk,,"Chai, adaptogenic"
herbal-chai,MERGE,Herbal Chai,"<p>All the warmth of a classic chai, none of the caffeine. Premium rooibos meets traditional chai spices for a blend that&#x27;s warming, balanced, and made for everyday indulgence. The one you reach for when you want all the comfort without the kick.</p>",MERGE,"Warm, spiced, smooth with a naturally sweet rooibos base",Any time of day — on its own or as a latte,,"Herbal chai, caffeine free"
india-kashmiri-chai-green-tea,MERGE,Kashmiri Green Chai,"<p>Chai, but not as you know it. Smooth Sencha meets ginger, cinnamon, and cardamom for a spiced green tea that&#x27;s warm, aromatic, and completely its own thing. Lighter than a black chai, more interesting than a plain green tea. The unexpected one that steals the show.</p>",MERGE,"Light, aromatic, warm spice with a subtle sweetness",Morning or afternoon on its own or with a splash of milk,Kashmir,"Green chai, spiced"
ceremonial-matcha,MERGE,Organic Ceremonial Matcha Green Tea,"<p>First harvest, shade-grown, stone-ground, our Ceremonial Matcha from Shizuoka is the real deal. Smooth, naturally sweet, and free of the bitterness that plagues lower grades. Whisk it, latte it, blend it. It holds up beautifully in all three.</p>",MERGE,"Smooth, naturally sweet, with a subtle umami finish","Any time of day, whisked traditionally or as a latte","Shizuoka, Japan","Green, Matcha ceremonial grade"
supreme-matcha,MERGE,Organic Supreme Matcha Green Tea,"<p>Japan has been perfecting matcha for centuries, and ours starts the same way - shade-grown, stone-ground, nothing added. Smooth enough for a quiet morning cup, versatile enough for lattes, smoothies, and baking. Whatever you&#x27;re making, it makes it better.</p>",MERGE,"Smooth, vegetal, lightly sweet with a clean finish","As a daily matcha, latte, or in baking and smoothies",Japan,"Green, Matcha supreme grade"
sweetened-matcha,MERGE,Sweetened Matcha Green Tea,,MERGE,,,Japan,"Green, Matcha sweetened"
culinary-matcha,MERGE,Culinary Matcha Green Tea,"<p>Not all matcha is made for the bowl and this one knows it. Our Culinary Matcha is bold, earthy, and built for everything else: lattes, smoothies, baked goods, overnight oats. That vivid green colour and punchy matcha flavour, in everything you make.</p>",MERGE,"Earthy, robust, with a bold matcha flavour","In lattes, smoothies, baking, and cooking",Japan,"Green, Matcha culinary grade"
divine-tangy-lemon-iced-tea,MERGE,Divine Tangy Lemon Iced Tea,"<p>Sunshine in a glass. Lemongrass, citrus fruits, and lemon verbena come together in a bright, zesty brew that&#x27;s crisp, refreshing, and completely caffeine free. Brew it hot, pour it over ice, and watch it disappear faster than you expected.</p>",MERGE,"Bright citrus, zesty, lightly sweet with a clean lemongrass finish","Cold over ice, any time of day",,"Herbal, iced, caffeine free"
moroccan-mint-iced-tea,MERGE,Moroccan Mint Iced Tea,"<p>Fresh, cool, and effortlessly refreshing. Organic green tea meets mint and green rooibos for a light, crisp brew that&#x27;s as good hot as it is ice cold. Inspired by the mint teas of North Africa, simple, clean, and impossible to put down.</p>",MERGE,"Fresh, minty, light with a clean green tea base",Cold over ice morning or afternoon,,"Green, iced"
passion-berry-iced-tea,MERGE,Passion Berry Iced Tea,"<p>Tropical, berry-forward, and made for warm days. Rooibos meets a bold berry blend for a naturally sweet, caffeine free brew that&#x27;s as vibrant as it tastes. Cold brew it overnight and you will have the best thing in your fridge. Guaranteed.</p>",MERGE,"Berry, tropical, naturally sweet with a smooth rooibos base",Cold over ice afternoon or evening,,"Herbal, iced, caffeine free"
wine-berry-iced-tea,MERGE,Wine Berry Iced Tea,"<p>Deep, fruity, and seriously good over ice. Hibiscus, rosehips, blackcurrant, and cranberries come together in a bold, ruby-red brew that&#x27;s rich enough to sip slowly and refreshing enough to drink all afternoon. Caffeine free and absolutely no apologies.</p>",MERGE,"Full body, fruity, tart hibiscus with a berry finish",Cold over ice afternoon or evening,,"Herbal, iced, caffeine free"
divine-ruby-red-iced-tea,MERGE,Divine Ruby Red Iced Tea,"<p>The one that looks as good as it tastes. Rooibos, hibiscus, berries, and rosehips brew into a stunning deep ruby red that&#x27;s tropical, aromatic, and completely caffeine free. Cold brew it, pour it over ice, and watch everyone ask what you&#x27;re drinking.</p>",MERGE,"Tropical, fruity, lightly tart with a smooth rooibos base",Cold over ice any time of day,,"Herbal, iced, caffeine free"
hibiscus-punch-herbal-tea,MERGE,Hibiscus Punch Herbal Tea,"<p>Some teas are subtle. This one is not. Deep ruby red, naturally tart, and packed with Vitamin C from hibiscus, cranberries, and blackcurrants. Caffeine free and bold as anything hot, cold, or straight over ice. One sip and you&#x27;ll get it.</p>",MERGE,"Tart, fruity, deep with a cranberry-hibiscus finish",Any time of day hot or cold brewed over ice,Egypt,"Herbal, caffeine free"
mellow-mint-herbal-tea,MERGE,Mellow Mint Herbal Tea,"<p>Cool, calm, and completely caffeine free. Our Mellow Mint blends chamomile, rosehips, lemongrass, and orange peel for a crisp, minty cup that&#x27;s as refreshing as it is soothing. The one you reach for when you need to reset, morning, afternoon, or after a long day.</p>",MERGE,"Minty, citrus, lightly floral with a clean finish",Any time of day especially after meals,,"Herbal, caffeine free"
wine-berry-herbal-tea,MERGE,Wine Berry Herbal Tea,"<p>Full-bodied, fruity, and unapologetically bold. Hibiscus, rosehips, blackcurrant, and cranberries come together in a deep ruby brew that drinks like something special. Caffeine free and naturally vibrant, the one you pull out when you want something that actually feels like a moment.</p>",MERGE,"Full body, fruity, deep hibiscus with a berry finish",Evening or anytime on its own or over ice,,"Herbal, caffeine free"
ube-matcha-tea,MERGE,Ube Matcha Tea,"<p>Premium matcha meets sweet ube and a touch of vanilla, the latte upgrade you didn&#x27;t know you needed. Creamy, colourful, and comforting in every sip. Hot or iced, it&#x27;s the kind of cup that makes mornings worth waking up for.</p>",MERGE,"Creamy, sweet ube, smooth matcha with a hint of vanilla","As a latte, hot or iced",Japan,"Green, Matcha — flavoured"
unflavoured-black-iced-tea,MERGE,Unflavoured Black Iced Tea,"<p>No fuss, no frills, just great black tea over ice. Clean, bold, and refreshing, our unflavoured black iced tea is the one you reach for when you want something straightforward and seriously satisfying. Add lemon, add sugar, add nothing. It works all three ways.</p>",MERGE,"Bold, clean, smooth with a slight tannin finish",Cold over ice morning or afternoon,"Assam, India","Black, iced"
crimsonberry-tea,MERGE,Crimsonberry Tea,"<p>Bold colour, bolder flavour. Crimsonberry is a rich, deep berry blend that brews into a stunning crimson cup with a naturally tart-sweet flavour that hits every note right. Caffeine free, vibrant, and the kind of tea that makes you stop and notice it. Hot or cold, it&#x27;s always impressive.</p>",MERGE,"Rich berry, tart-sweet, deep with a smooth finish",Hot or cold over ice any time of day,,"Herbal, caffeine free"
organic-lions-mane-powder,MERGE,Organic Lion's Mane Powder,"<p>Found growing on tree trunks across North America, Lion&#x27;s Mane is the functional mushroom with a flavour profile unlike anything else, mildly meaty, with notes some describe as lobster or crab. Finely milled into a smooth powder that disappears into warm drinks, smoothies, soups, and post-workout shakes. Your daily routine, quietly upgraded.</p>",MERGE,"Mildly meaty, slight seafood notes — subtle and unique","Warm beverages, smoothies, soup, or post-workout shakes",North America,
organic-ashwagandha-powder,MERGE,Organic Ashwagandha Root Powder,"<p>Straight from the wild landscapes of India where it naturally thrives. Ashwagandha has an earthy, slightly bitter flavour with subtle sweet undertones and it blends beautifully into sweet desserts, warm drinks, and smoothies. 3,000 years of tradition in every scoop.</p>",MERGE,"Earthy, slightly bitter, subtle sweet undertones","Sweet desserts, warm beverages, or smoothies",India,
organic-reishi-mushroom-powder,MERGE,Organic Reishi Mushroom Powder,"<p>Revered for centuries across Asia, Reishi is the mushroom that earns its place in your evening routine. Grown in the hot and humid climates of Asia, our Reishi powder carries a distinctly earthy, slightly bitter flavour that pairs beautifully with teas, coffees, and smoothies. The wind-down ritual your body has been asking for.</p>",MERGE,"Earthy, slightly bitter, deep mushroom flavour","Hot teas, coffees, or smoothies — especially in the evening",Asia,
organic-cordyceps-powder,MERGE,Organic Cordyceps Powder,"<p>The performance mushroom. Pure and ethically sourced, Cordyceps is known to help the body utilise oxygen more efficiently making it the go-to for athletes and anyone who wants natural, sustained energy. Savory, earthy, and deeply nutty in flavour. Add it to your smoothie and feel the difference.</p>",MERGE,"Savory umami, deep earthy-nutty flavour","Smoothies, pre-workout shakes, or warm beverages",Asia,
organic-rhodiola-root-powder,MERGE,Organic Rhodiola Root Powder,"<p>From the cold, mountainous regions of Europe and Asia comes one of the most trusted adaptogens around. Rhodiola has a delicate, sweet rose flavour with a slight bitterness and it pairs beautifully with yogurt, smoothies, and coffee. Known to reduce fatigue and relieve stress. The one worth making a daily habit.</p>",MERGE,"Delicate rose flavour, sweet and slightly bitter","Yogurt, smoothies, or coffee","Europe and Asia, mountainous regions",
organic-blueberry-powder,MERGE,Organic Blueberry Powder,"<p>Blueberries are one of nature&#x27;s most flavourful fruits and every bit of that ends up in this powder. Rich in antioxidants and made from real blueberry extracts, our Organic Blueberry Powder adds a deep, bold berry hit to everything you make. Stir it into yogurt, oatmeal, smoothies, protein shakes, or baked goods. Simple, powerful, and genuinely delicious.</p>",MERGE,"Rich, bold blueberry — sweet and naturally fruity","Yogurt, oatmeal, smoothies, protein shakes, and baked goods",North America,
organic-tart-cherries-powder,MERGE,Organic Tart Cherries Powder,"<p>Native to Central Europe and grown organically and sustainably, our Tart Cherry Powder delivers that classic sweet-sour cherry hit in every scoop. Stir it into oatmeal, blend it into smoothies, or add it to your favourite tea. Bold, natural, and genuinely delicious.</p>",MERGE,"Sweet, sour — bold tart cherry flavour","Oatmeal, smoothies, or teas",Central Europe,
organic-taro-powder,MERGE,Organic Taro Powder,"<p>Sourced from nutrient-rich regions of South Asia, our Organic Taro Powder brings a naturally creamy texture and mildly sweet, earthy flavour to everything it touches. Perfect for smoothies, bubble tea, and baking finely milled for purity and consistency. The versatile powder your kitchen didn&#x27;t know it needed.</p>",MERGE,"Mildly sweet, earthy, naturally creamy","Smoothies, bubble tea, baking, and more",South Asia,
organic-rose-petals-powder,MERGE,Organic Rose Petals Powder,"<p>Made from the finest organic rose petals, cured to perfection. Our Rose Petals Powder has a subtle, naturally floral flavour and is packed with antioxidants that fight free radicals and skin irritants. Beautiful in lattes, smoothie bowls, and baking and just as good applied directly to your skin.</p>",MERGE,"Subtle rose flavour, delicate and floral","Lattes, smoothie bowls, baking, or skincare",Morocco,
organic-coconut-milk-powder,MERGE,Organic Coconut Milk Powder,"<p>Premium organic coconut milk powder sustainably sourced from the Philippines. Naturally creamy with a subtle sweetness, it dissolves instantly into rich coconut milk , no cans, no waste. Perfect for smoothies, dairy-free lattes, curries, vegan ice creams, baking, and coconut-based sauces. Pure organic coconut milk blended with 5% organic tapioca maltodextrin. Clean, simple, and endlessly useful.</p>",MERGE,"Rich, creamy, naturally sweet coconut","Smoothies, dairy-free lattes, curries, baking, and desserts",Philippines,
organic-date-powder,MERGE,Organic Date Powder,"<p>Finely milled from dried dates, our Organic Date Powder delivers a rich, caramel-like sweetness that makes it the smartest swap for refined sugar in your kitchen. It adds flavour and nutrients in every scoop not just sweetness. Stir it into smoothies, bake it into goods, or sprinkle it over yogurt. Sweet, purposeful, and completely natural.</p>",MERGE,"Sweet, rich, caramel-like","Baked goods, smoothies, or yogurt",Middle East,
organic-molasses-powder,MERGE,Organic Molasses Powder,"<p>Originating from India, our Organic Molasses Powder brings a unique sweet, dark depth to everything it touches. High in fibre and low in calories, it adds bold flavour and a touch of natural richness to sauces, glazes, marinades, pancake batter, smoothies, and shakes. The pantry ingredient that does more than you&#x27;d expect.</p>",MERGE,"Sweet, dark, rich — deep and bold","Sauces, glazes, marinades, pancake batter, smoothies, and shakes",India,
organic-supreme-matcha-powder,MERGE,Organic Supreme Matcha Green Tea Powder,"<p>Sourced directly from Japan and sitting perfectly between ceremonial and culinary grade, our Supreme Matcha delivers a vibrant bright-green colour, smooth texture, and naturally sweet, umami-rich flavour. USDA Organic, free from fillers and additives perfect for daily matcha, lattes, smoothies, and baked goods like matcha cookies and tea cakes.</p>",MERGE,"Vegetal, sweet, smooth with an umami finish","Daily matcha, lattes, smoothies, and baked goods",Japan,
conventional-coffee-cherry-powder,MERGE,Coffee Cherry Powder,"<p>Eight times more antioxidants than blueberries and most people have never heard of it. Coffee Cherry Powder is made from the fruit of the coffee plant, the part that&#x27;s usually discarded after harvesting the bean. Packed with vitamins, minerals, and one of the most powerful antioxidant profiles in the superfood world. Add it to smoothies, lattes, or baking and let it do the work.</p>",MERGE,"Fruity, lightly sweet, mild coffee notes","Smoothies, lattes, and baking",Ethiopia,
organic-hibiscus-botanicals,MERGE,Organic Hibiscus Botanicals,"<p>Deep ruby red, boldly tart, and naturally vibrant, our Organic Hibiscus Botanicals brew into one of the most striking cups you&#x27;ll ever make. A beautiful balance of tart and sweet that works just as well hot as it does over ice. Caffeine free and impossible to ignore.</p>",MERGE,"Tart, fruity, full-bodied",Hot or cold — on its own or blended into herbal mixes,,
conventional-rose-petals-botanicals,MERGE,Conventional Rose Petals Botanicals,"<p>One of the oldest flowers in the world and still one of the most beautiful in a cup. Our Rose Petals brew into a naturally fragrant, lightly floral tea that&#x27;s a genuine source of vitamins and antioxidants. Simple, elegant, and worth every sip.</p>",MERGE,"Delicate, floral, lightly sweet","Hot, on its own or with honey",,
organic-chamomile-flowers-botanicals,MERGE,Organic Chamomile Flowers Botanicals,"<p>One of the most ancient medicinal herbs on the planet and still one of the best. Our Organic Chamomile Flowers brew into a soft, naturally calming cup that&#x27;s been helping people sleep and unwind for centuries. Caffeine free, gentle, and genuinely effective.</p>",MERGE,"Soft, floral, lightly sweet",Evening — as part of a wind down ritual,,
conventional-jasmine-flowers-botanicals,MERGE,Conventional Jasmine Flowers Botanicals,"<p>Delicate, pale, and impossibly fragrant. Our Jasmine Flowers brew into a naturally sweet, caffeine free cup that&#x27;s as beautiful to smell as it is to drink. Used in bath salts, potpourri, and tea for centuries because jasmine just makes everything better.</p>",MERGE,"Floral, sweet, delicately fragrant","Hot, on its own",,
organic-green-rooibos-botanicals,MERGE,Organic Green Rooibos Botanicals,"<p>From the Aspalathus linearis bush in South Africa comes one of the world&#x27;s most naturally antioxidant-rich botanicals. Green Rooibos is completely caffeine free, known to reduce stress, and brews into a light, naturally sweet cup. The one for any time of day.</p>",MERGE,"Light, grassy, mildly sweet",Any time of day — hot or cold,,
organic-valerian-root-botanicals,MERGE,Organic Valerian Root Botanicals,"<p>Nature&#x27;s most well-known sleep botanical. Valerian Root has been used for centuries to support relaxation and restful sleep and ours is organic, pure, and ready to become your evening ritual. Brew it, breathe it in, and let the day go.</p>",MERGE,"Earthy, herbal, slightly woody",Evening — 30 minutes before bed,,
organic-rosehips-botanicals,MERGE,Organic Rosehips Botanicals,"<p>The accessory fruit of the rose and one of nature&#x27;s richest sources of Vitamin C. Our Organic Rosehips brew into a delicate, lightly floral cup with a subtle tartness and a naturally warming finish. Beautiful on its own, brilliant blended into herbal mixes.</p>",MERGE,"Delicate, lightly floral, subtly tart","Hot, on its own or with honey",,
organic-lemongrass-botanicals,MERGE,Organic Lemongrass Botanicals,"<p>That distinct, bright lemon aroma that makes any blend instantly more interesting. Our Organic Lemongrass is full of natural benefits and brews into a fresh, citrusy cup that&#x27;s light, clean, and genuinely uplifting. Use it on its own or blend it into your favourite tea.</p>",MERGE,"Fresh, citrusy, bright lemon aroma",Hot or cold — any time of day,,
organic-calendula-petals-botanicals,MERGE,Organic Calendula Petals Botanicals,"<p>Bright, bold, and historically one of the most medicinal botanicals around. Don&#x27;t let the sunny yellow colour fool you Calendula has a distinct peppery, slightly bitter flavour that adds real depth to herbal blends. Used for centuries to support healing. The botanical that works as hard as it looks.</p>",MERGE,"Peppery, slightly bitter, earthy",Blended into herbal mixes,,
organic-licorice-spice,MERGE,Organic Licorice Spice,"<p>Naturally sweet with undertones of mint and anise, Licorice brings a delicate, distinctive depth to everything it touches. Beyond the candy aisle, it shines in desserts like ice cream, cookies, and cakes, and pairs beautifully with mint, ginger, rhubarb, and raspberries. The spice that surprises you every time.</p>",MERGE,"Naturally sweet, mint and anise undertones","Desserts, baking, and sweet beverages",,
organic-star-anise-spice,MERGE,Organic Star Anise Spice,"<p>From the lush terrains of southeastern China and Vietnam comes one of the most distinctive spices in the world. A sweet, peppery warmth that&#x27;s reminiscent of licorice, Star Anise elevates soups, stews, and slow-cooked meat dishes to something genuinely special. Pairs beautifully with cloves, ginger, nutmeg, and garlic.</p>",MERGE,"Sweet, peppery, licorice-like warmth","Soups, stews, and savoury meat dishes",,
organic-elderberries-botanicals,MERGE,Organic Elderberries Botanicals,"<p>Dark, deep, and rich with history. Elderberries from the European elder tree have been used for centuries to make medicine, jellies, jams, and wine and they brew into an equally impressive cup of tea. Bold, fruity, and naturally powerful.</p>",MERGE,"Rich, dark berry, fruity and full-bodied",Hot or cold — on its own or blended,,
